Hash of previous block,pi,Sub Users,Step
82b64e2f2ef99c15360bb09a759cb0541589b1b511a36d8105a3ab43aed738972a0754b2f35f4e2ba0e2a20f51dfe0ec29fe16f39a90543603fd4a96673e1a8a , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
601d15b8403f2e2cab1ed5a24b9b2a8cb673445685bf93cdf8596a86b4eb8e615cff543ac1deb64d8d4da22fc137d00877ec4ec8749636f2f53568e1bcd550af , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
05886a3e0989d02d5f619bb2283d8f6482542ca2f9cf899147adc819d42c02ceddb4d2b8dd19ff1041cfdaf4c0284c6a9eabf6392deeb36c4efb75403f4f3594 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
c3842be9619927f7927caaecce409361e24dd67c74a3d4c61cca2a00da34b78398e5c4bdf753d2aab46afedc1b41ed58289b18b31b29b07fceef83eb67474e20 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
b899b857701f88004546afde11eb24d0f312fbcd26138d942682002d2f6cd003efd989e0e663e5d1b803ff439d7b1a7dd2f6f1f38e3c42992a9aeb933f4d5258 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
9f42d68f21019586affb8d2b498eb19ce2d90f8c484f3d281db0b1dc38907cff962a33315b2cbdba4e99ff10ca514df60f9b39359629c252bf4ed2c841ff7dff , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
4df1e10d1dd3a0d8e6250ffbf2641f97b01078437d1f80802656972873296210779c907c8869584c9805bc95c91c3f1f94891345d35fbdbc3029df2a71e12907 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
e01dae3d332b4961e86cac3ada2f1c6d6df4bbe09f864695771072ef62ee643d7af4413aab67aa97eb281bf5c9c32ae11e2379c00b81347b54de2e25441aebee , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
57ecd164d68431a43c267e5be5078db66299b0eb0ec791224f5f7854fd02fef5ede3fba984c74599e18c0aac405c3b6614dd8c5763dbbfe85d6d0adef0a1b3af , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
9af2f6419a2f688992be2c8939503de4f56531b87a729b122c01aeb5db394a3e1de0a621021675802e8e7bfa6b4aade7254083967cca307c481c67b411335637 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
acc58f7379c53cb8fc7890865834d116495628a2a5a737b6a2f88b6c5443a38bfee0e00d09982af40ab0988d38c0f92bd83d43264072433da75bf7fd6437d64f , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
fe01c3f6d724334e11751a5bcee9fd04fe2ad0ab520921adc0778b34244b16ff7b8aa40aee51d0bcc86381dc46f7ee488e6a8180893c542311c633c4a45e3288 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,1,1
0a74945a5e60e92aff4c40ee30ce67b09b25d50121a4096c6351951a593f223bce7b8f6a70666abbf66ebc98edd46694db14d48296249ccdbcffa101bcfc1365 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
07465e83a384a4756949b0acba3c96a8fb0cdbca96f71acd54c154e2ec899c63ebf897b0e511347908e3b2bfe54e586bdda23ec2234f99320e6226dd7db7dfe2 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
6177a2cd1abb9547a71a79fda97145ec0aa8a0342d7064f858bb5f2cdc2f8ded111b05d79562dcd9b2dd1679321ab95bbd0359c2e21d3aea472facf3d3600bdb , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
d883386ec65f4b776e4b3661030b758b76792710847fbc0d67da221d070e7d02e1b2da3a4b1d0cd37edc8796579c32b297ac40295d21fde6a6bf8723b5fcfb24 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
9c39e73a2725431548dc4cf25b4d7eca8c63a8913b6e0b3bcdccb2830521f70960260fd609d3c88019c52600f4e2034f645f029475d410514703b03fa2684561 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
